alpha,delta_r,g_q,g_q_tilde,D_Q,w1_dist,lipschitz_b1,shift_penalty_b1,bound_1,bound_1_holds
0.0,0.0020000000000000018,0.015000000000000013,0.018500000000000072,0.039000000000000035,3.448456797894296e-17,0.8076291569353299,2.785074256411278e-17,0.07250000000000015,True
0.3,0.0020999999999999908,0.02629999999999999,0.007900000000000018,0.018000000000000016,0.1800000000000033,0.63117443051076,0.1136113974919389,0.1658113974919389,True
0.6,0.0020999999999999908,0.01100000000000001,0.0009000000000000119,0.010000000000000009,0.7200000000000154,0.76661141198409,0.5519602166285567,0.5738602166285567,True
0.8999999999999999,0.006700000000000039,0.029299999999999993,0.00019999999999997797,0.02400000000000002,1.619999999999971,0.7808588078144786,1.2649912686594327,1.3184912686594328,True
1.2,0.0017000000000000348,0.010399999999999965,0.030100000000000016,0.019000000000000017,2.8800000000000616,0.7974083677959897,2.2965360992524992,2.356036099252499,True
1.5,0.0012999999999999678,0.0020999999999999908,0.0026000000000000467,0.010000000000000009,4.500000000000078,0.7074187383600632,3.1833843226203395,3.1980843226203395,True
1.7999999999999998,0.0039000000000000146,0.01739999999999997,0.0044999999999999485,0.025000000000000022,6.479999999999884,0.7127411048367751,4.61856235934222,4.66546235934222,True
2.1,0.005800000000000027,0.00660000000000005,0.007299999999999973,0.015000000000000013,8.820000000000046,0.7411119057920523,6.536607009085936,6.565507009085936,True
2.4,0.0006000000000000449,0.0044999999999999485,0.018399999999999972,0.0020000000000000018,11.520000000000246,0.606435850772497,6.986141000899314,7.011041000899314,True
2.6999999999999997,0.008099999999999996,0.021299999999999986,0.014900000000000024,0.03500000000000003,14.580000000000114,0.769608497087402,11.220891887534409,11.292091887534408,True
3.0,0.00019999999999997797,0.015800000000000036,0.019399999999999973,0.039000000000000035,18.000000000000313,0.643347376899255,11.580252784186792,11.654452784186791,True
