alpha,delta_r,D_Q,bound_1,bound_2_corrected,bound_1_holds,bound_2_holds
0.0,0.0009000000000000119,0.016000000000000014,0.03570000000000009,0.06744668271445066,True,True
0.3,0.0028000000000000247,0.025000000000000022,0.16060515258792202,0.19808626055201378,True,True
0.6,0.0015999999999999348,0.0030000000000000027,0.5306784916184318,0.4696437672071084,True,True
0.8999999999999999,0.0050000000000000044,0.017000000000000015,1.379599240508591,1.1080257115688734,True,True
1.2,0.0020999999999999908,0.018000000000000016,2.296295807138394,2.1044207691338634,True,True
1.5,0.009500000000000064,0.016000000000000014,3.553109232276608,2.659908290663118,True,True
1.7999999999999998,0.0033000000000000806,0.014000000000000012,4.550685263919238,4.2093744908715145,True,True
2.1,0.0048000000000000265,0.015000000000000013,6.757578057463946,6.030327167442584,True,True
2.4,0.00649999999999995,0.03400000000000003,8.697864314459476,6.579545074134248,True,True
2.6999999999999997,0.019100000000000006,0.010000000000000009,9.744649134163167,9.21326103932094,True,True
3.0,0.007199999999999984,0.01100000000000001,12.581760422290964,9.579321494134229,True,True
