alpha,delta_r,g_q,g_q_tilde,D_Q,w1_dist,lipschitz_max,shift_penalty_max,bound_max,lipschitz_99pct,shift_penalty_99pct,bound_99pct,bound_holds
0.0,0.00029999999999996696,0.007900000000000018,0.02070000000000005,0.010000000000000009,4.940492459581949e-17,0.7441232076627877,3.6763350964579357e-17,0.03860000000000011,0.6687876769982462,3.3041404752711633e-17,0.03860000000000011,True
0.3,0.0017000000000000348,0.014399999999999968,0.007199999999999984,0.01100000000000001,0.18000000000000346,0.7045625796705502,0.12682126434070148,0.15942126434070145,0.6051661397838443,0.10892990516109406,0.14152990516109404,True
0.6,0.006500000000000061,0.009600000000000053,0.0014999999999999458,0.0020000000000000018,0.7200000000000152,0.6365399623190842,0.45830877286975025,0.47140877286975025,0.5574394589171122,0.40135641042032927,0.41445641042032927,True
0.8999999999999999,0.0008000000000000229,0.013900000000000023,0.006099999999999994,0.010000000000000009,1.619999999999971,0.6962763586414491,1.1279677009991274,1.1579677009991274,0.6025820146967868,0.9761828638087773,1.0061828638087773,True
1.2,0.005499999999999949,0.01539999999999997,0.0033999999999999586,0.02100000000000002,2.8800000000000616,0.6058404761668739,1.744820571360634,1.7846205713606338,0.5254612392363386,1.5133283690006876,1.5531283690006874,True
1.5,0.009600000000000053,0.0019000000000000128,0.018199999999999994,0.0030000000000000027,4.500000000000078,0.7355448787411958,3.3099519543354385,3.3330519543354384,0.6372300498162925,2.8675352241733663,2.890635224173366,True
1.7999999999999998,0.0032999999999999696,0.00990000000000002,0.008499999999999952,0.007000000000000006,6.479999999999884,0.6785545834427145,4.397033700708711,4.422433700708711,0.595768450784392,3.8605795610827913,3.885979561082791,True
2.1,0.0006000000000000449,0.03380000000000005,0.007000000000000006,0.04800000000000004,8.820000000000046,0.7455834222909012,6.576045784605784,6.664845784605784,0.663718985837938,5.854001455090644,5.942801455090644,True
2.4,0.012399999999999967,0.0046000000000000485,0.01539999999999997,0.02400000000000002,11.520000000000246,0.5520251982700025,6.359330284070565,6.403330284070565,0.4858910972735215,5.597465440591087,5.641465440591087,True
2.6999999999999997,0.0039000000000000146,0.01870000000000005,0.012900000000000023,0.039000000000000035,14.580000000000114,0.7397601624445338,10.785703168441387,10.856303168441388,0.6409258758510425,9.344699269908274,9.415299269908274,True
3.0,9.999999999998899e-05,0.017800000000000038,0.007199999999999984,0.019000000000000017,18.000000000000313,0.6446618992350956,11.603914186231924,11.647914186231924,0.5459606955291496,9.827292519524864,9.871292519524864,True
