alpha,delta_r,g_q,g_q_tilde,D_Q,mmd_dist,mmd_bound,bound_holds
0.0,0.0008000000000000229,0.02970000000000006,0.027700000000000058,0.010000000000000009,0.0,0.06740000000000013,True
0.3,9.999999999998899e-05,0.013900000000000023,0.015000000000000013,0.026000000000000023,0.12139860662228104,0.17629860662228108,True
0.6,0.0036000000000000476,0.025900000000000034,0.008900000000000019,0.02300000000000002,0.24425244934811804,0.30205244934811815,True
0.8999999999999999,0.0025000000000000577,0.020100000000000007,0.019000000000000017,0.03700000000000003,0.3462600602069698,0.42236006020696987,True
1.2,0.0031999999999999806,0.0013999999999999568,0.005800000000000027,0.013000000000000012,0.43316977628228365,0.45336977628228364,True
1.5,0.0018000000000000238,0.013800000000000034,0.028100000000000014,0.019000000000000017,0.4664921290025988,0.5273921290025989,True
1.7999999999999998,0.0018000000000000238,0.0030999999999999917,0.0242,0.02100000000000002,0.5497464091820541,0.5980464091820541,True
2.1,0.0019000000000000128,0.01990000000000003,0.016199999999999992,0.014000000000000012,0.5837855536272412,0.6338855536272412,True
2.4,0.023499999999999965,0.006700000000000039,0.015900000000000025,0.017000000000000015,0.6121047270519068,0.6517047270519069,True
2.6999999999999997,0.010600000000000054,0.007800000000000029,0.0027000000000000357,0.008000000000000007,0.608363506369643,0.626863506369643,True
3.0,0.0020999999999999908,0.0043999999999999595,0.024900000000000033,0.026000000000000023,0.620325242454091,0.6756252424540911,True
