beta,delta_r,optimal_gamma,mmd_dist,mmd_bound,bound_holds
0.5,0.0030000000000000027,0.14946974035079383,0.21862011493672148,0.3187428915384053,True
0.65,0.0035000000000000586,0.15721753533138616,0.14274058097280126,0.2578633575744852,True
0.8,0.000500000000000056,0.1827312954610302,0.07225192912788858,0.1761747057295724,True
0.95,0.0016000000000000458,0.1872899229775842,0.01642298868973063,0.0826457652914145,True
1.1,0.0040000000000000036,0.17604855557065568,0.030604175091203684,0.08882695169288754,True
1.25,0.0016000000000000458,0.17764058931581256,0.07139941096206659,0.14672218756375033,True
1.4,0.0007000000000000339,0.17025150370034325,0.10923265015583532,0.20095542675751915,True
1.55,0.0032999999999999696,0.16929694648248564,0.1406639322303087,0.19888670883199244,True
1.7,0.006900000000000017,0.15317120326658984,0.17320990371273018,0.262232680314414,True
1.8499999999999999,0.0020000000000000018,0.14842971862090465,0.2079402236139304,0.3118630002156143,True
2.0,0.0042999999999999705,0.13610563789956434,0.2247280909536186,0.38215086755530225,True
