noise_std_dev,delta_r,mmd_dist,mmd_bound,bound_holds
0.0,0.006000000000000005,0.0,0.065119888974716,True
0.2,0.0032999999999999696,0.0045986097775616306,0.09838516541894447,True
0.4,0.0008000000000000229,0.0128109563426475,0.07589751198403039,True
0.6000000000000001,0.0034999999999999476,0.02582131106813834,0.0864412000428544,True
0.8,0.0029000000000000137,0.0495630295150711,0.1341829184897872,True
1.0,0.0015999999999999348,0.06472103957549895,0.12220759521688168,True
1.2000000000000002,0.0033999999999999586,0.0866315987828555,0.17521815442423816,True
1.4000000000000001,0.0040000000000000036,0.1159784419166608,0.19146499755804375,True
1.6,0.0009000000000000119,0.12302720429746393,0.17534709327218,True
1.8,0.0013999999999999568,0.15941965678571066,0.24470621242709334,True
2.0,0.010099999999999998,0.15583761635689258,0.299490838664942,True
